!!SBtab	SBtabVersion='1.0' Document='CaMKII' TableType='Quantity' TableName='Expression' TableTitle='CaMKIIs parameters that depend on others'				
!ID	!Name	!Unit	!Formula	!Description	!Location
KD__CaM_Ca3__PP2B	KD__CaM_Ca3__PP2B	micromole/litre	(KD__CaM_Ca3__Ca * KD__CaM_Ca4__PP2B) / KD__PP2B_CaM_Ca3__Ca	dependent parameter	synapse
KD__CaM_Ca2__PP2B	KD__CaM_Ca2__PP2B	micromole/litre	(KD__CaM_Ca2__Ca * KD__CaM_Ca3__PP2B) / KD__PP2B_CaM_Ca2__Ca	dependent parameter	synapse
KD__CaM_Ca1__PP2B	KD__CaM_Ca1__PP2B	micromole/litre	(KD__CaM_Ca1__Ca * KD__CaM_Ca2__PP2B) / KD__PP2B_CaM_Ca1__Ca	dependent parameter	synapse
KD__CaM__PP2B	KD__CaM__PP2B	micromole/litre	(KD__CaM__Ca * KD__CaM_Ca1__PP2B) / KD__PP2B_CaM__Ca	dependent parameter	synapse
KD__CaM_Ca3__CaMKII	KD__CaM_Ca3__CaMKII	micromole/litre	(KD__CaM_Ca3__Ca * KD__CaM_Ca4__CaMKII) / KD__CaMKII_CaM_Ca3__Ca	dependent parameter	synapse
KD__CaM_Ca2__CaMKII	KD__CaM_Ca2__CaMKII	micromole/litre	(KD__CaM_Ca2__Ca * KD__CaM_Ca3__CaMKII) / KD__CaMKII_CaM_Ca2__Ca	dependent parameter	synapse
KD__CaM_Ca1__CaMKII	KD__CaM_Ca1__CaMKII	micromole/litre	(KD__CaM_Ca1__Ca * KD__CaM_Ca2__CaMKII) / KD__CaMKII_CaM_Ca1__Ca	dependent parameter	synapse
KD__CaM__CaMKII	KD__CaM__CaMKII	micromole/litre	(KD__CaM__Ca * KD__CaM_Ca1__CaMKII) / KD__CaMKII_CaM__Ca	dependent parameter	synapse
KD__CaM_Ca3__pCaMKIIa	KD__CaM_Ca3__pCaMKIIa	micromole/litre	(KD__CaM_Ca3__Ca * KD__CaM_Ca4__pCaMKIIa) / KD__pCaMKII_CaM_Ca3__Ca	dependent parameter	synapse
KD__CaM_Ca2__pCaMKIIa	KD__CaM_Ca2__pCaMKIIa	micromole/litre	(KD__CaM_Ca2__Ca * KD__CaM_Ca3__pCaMKIIa) / KD__pCaMKII_CaM_Ca2__Ca	dependent parameter	synapse
KD__CaM_Ca1__pCaMKIIa	KD__CaM_Ca1__pCaMKIIa	micromole/litre	(KD__CaM_Ca1__Ca * KD__CaM_Ca2__pCaMKIIa) / KD__pCaMKII_CaM_Ca1__Ca	dependent parameter	synapse
KD__CaM__pCaMKIIa	KD__CaM__pCaMKIIa	micromole/litre	(KD__CaM__Ca * KD__CaM_Ca1__pCaMKIIa) / KD__pCaMKII_CaM__Ca	dependent parameter	synapse
kr__CaM_Ca3__Ca	kr__CaM_Ca3__Ca	micromole/litre	KD__CaM_Ca3__Ca*kf__CaM_Ca3__Ca	dependent parameter	synapse
kr__CaM_Ca2__Ca	kr__CaM_Ca2__Ca	micromole/litre	KD__CaM_Ca2__Ca * kf__CaM_Ca2__Ca	dependent parameter	synapse
kr__CaM_Ca1__Ca	kr__CaM_Ca1__Ca	micromole/litre	KD__CaM_Ca1__Ca * kf__CaM_Ca1__Ca	dependent parameter	synapse
kr__CaM__Ca	kr__CaM__Ca	micromole/litre	KD__CaM__Ca * kf__CaM__Ca	dependent parameter	synapse
kr__CaM_Ca4__PP2B	kr__CaM_Ca4__PP2B	micromole/litre	KD__CaM_Ca4__PP2B * kf__CaM_Ca4__PP2B	dependent parameter	synapse
kr__CaM_Ca3__PP2B	kr__CaM_Ca3__PP2B	micromole/litre	KD__CaM_Ca3__PP2B * kf__CaM_Ca3__PP2B	dependent parameter	synapse
kr__CaM_Ca2__PP2B	kr__CaM_Ca2__PP2B	micromole/litre	KD__CaM_Ca2__PP2B * kf__CaM_Ca2__PP2B	dependent parameter	synapse
kr__CaM_Ca1__PP2B	kr__CaM_Ca1__PP2B	micromole/litre	KD__CaM_Ca1__PP2B * kf__CaM_Ca1__PP2B	dependent parameter	synapse
kr__CaM__PP2B	kr__CaM__PP2B	micromole/litre	KD__CaM__PP2B * kf__CaM__PP2B	dependent parameter	synapse
kr__PP2B_CaM_Ca3__Ca	kr__PP2B_CaM_Ca3__Ca	micromole/litre	KD__PP2B_CaM_Ca3__Ca *kf__PP2B_CaM_Ca3__Ca	dependent parameter	synapse
kr__PP2B_CaM_Ca2__Ca	kr__PP2B_CaM_Ca2__Ca	micromole/litre	KD__PP2B_CaM_Ca2__Ca * kf__PP2B_CaM_Ca2__Ca	dependent parameter	synapse
kr__PP2B_CaM_Ca1__Ca	kr__PP2B_CaM_Ca1__Ca	micromole/litre	KD__PP2B_CaM_Ca1__Ca * kf__PP2B_CaM_Ca1__Ca	dependent parameter	synapse
kr__PP2B_CaM__Ca	kr__PP2B_CaM__Ca	micromole/litre	KD__PP2B_CaM__Ca * kf__PP2B_CaM__Ca	dependent parameter	synapse
kr__CaM_Ca4__CaMKII	kr__CaM_Ca4__CaMKII	micromole/litre	KD__CaM_Ca4__CaMKII * kf__CaM_Ca4__CaMKII	dependent parameter	synapse
kr__CaM_Ca3__CaMKII	kr__CaM_Ca3__CaMKII	micromole/litre	KD__CaM_Ca3__CaMKII * kf__CaM_Ca3__CaMKII	dependent parameter	synapse
kr__CaM_Ca2__CaMKII	kr__CaM_Ca2__CaMKII	micromole/litre	KD__CaM_Ca2__CaMKII * kf__CaM_Ca2__CaMKII	dependent parameter	synapse
kr__CaM_Ca1__CaMKII	kr__CaM_Ca1__CaMKII	micromole/litre	KD__CaM_Ca1__CaMKII * kf__CaM_Ca1__CaMKII	dependent parameter	synapse
kr__CaM__CaMKII	kr__CaM__CaMKII	micromole/litre	KD__CaM__CaMKII * kf__CaM__CaMKII	dependent parameter	synapse
kr__CaMKII_CaM_Ca3__Ca	kr__CaMKII_CaM_Ca3__Ca	micromole/litre	KD__CaMKII_CaM_Ca3__Ca * kf__CaMKII_CaM_Ca3__Ca	dependent parameter	synapse
kr__CaMKII_CaM_Ca2__Ca	kr__CaMKII_CaM_Ca2__Ca	micromole/litre	KD__CaMKII_CaM_Ca2__Ca * kf__CaMKII_CaM_Ca2__Ca	dependent parameter	synapse
kr__CaMKII_CaM_Ca1__Ca	kr__CaMKII_CaM_Ca1__Ca	micromole/litre	KD__CaMKII_CaM_Ca1__Ca * kf__CaMKII_CaM_Ca1__Ca	dependent parameter	synapse
kr__CaMKII_CaM__Ca	kr__CaMKII_CaM__Ca	micromole/litre	KD__CaMKII_CaM__Ca * kf__CaMKII_CaM__Ca	dependent parameter	synapse
kr__pCaMKII_CaM_Ca3__Ca	kr__pCaMKII_CaM_Ca3__Ca	micromole/litre	KD__pCaMKII_CaM_Ca3__Ca * kf__pCaMKII_CaM_Ca3__Ca	dependent parameter	synapse
kr__pCaMKII_CaM_Ca2__Ca	kr__pCaMKII_CaM_Ca2__Ca	micromole/litre	KD__pCaMKII_CaM_Ca2__Ca * kf__pCaMKII_CaM_Ca2__Ca	dependent parameter	synapse
kr__pCaMKII_CaM_Ca1__Ca	kr__pCaMKII_CaM_Ca1__Ca	micromole/litre	KD__pCaMKII_CaM_Ca1__Ca * kf__pCaMKII_CaM_Ca1__Ca	dependent parameter	synapse
kr__pCaMKII_CaM__Ca	kr__pCaMKII_CaM__Ca	micromole/litre	KD__pCaMKII_CaM__Ca * kf__pCaMKII_CaM__Ca	dependent parameter	synapse
kr__CaM_Ca4__pCaMKIIa	kr__CaM_Ca4__pCaMKIIa	micromole/litre	KD__CaM_Ca4__pCaMKIIa * kf__CaM_Ca4__pCaMKIIa	dependent parameter	synapse
kr__CaM_Ca3__pCaMKIIa	kr__CaM_Ca3__pCaMKIIa	micromole/litre	KD__CaM_Ca3__pCaMKIIa * kf__CaM_Ca3__pCaMKIIa	dependent parameter	synapse
kr__CaM_Ca2__pCaMKIIa	kr__CaM_Ca2__pCaMKIIa	micromole/litre	KD__CaM_Ca2__pCaMKIIa * kf__CaM_Ca2__pCaMKIIa	dependent parameter	synapse
kr__CaM_Ca1__pCaMKIIa	kr__CaM_Ca1__pCaMKIIa	micromole/litre	KD__CaM_Ca1__pCaMKIIa * kf__CaM_Ca1__pCaMKIIa	dependent parameter	synapse
kr__CaM__pCaMKIIa	kr__CaM__pCaMKIIa	micromole/litre	KD__CaM__pCaMKIIa * kf__CaM__pCaMKIIa	dependent parameter	synapse
Ca	Ca	micromole/litre	isOn*Ca_set+caa	input dynamics	synapse
PP1	PP1	micromole/litre	PP1_0-PP1__pCaMKIIa	input dynamics	synapse
CaMKII	CaMKII	micromole/litre	CaMKII_0 - PP1_0 - (CaMKII_CaM + CaMKII_CaM_Ca1 + CaMKII_CaM_Ca2 + CaMKII_CaM_Ca3 + CaMKII_CaM_Ca4 + pCaMKII_CaM_Ca4 + pCaMKIIa + pCaMKII_CaM_Ca3 + pCaMKII_CaM_Ca2 + pCaMKII_CaM_Ca1 + pCaMKII_CaM - PP1)	from conservation law	synapse
CaM	CaM	micromole/litre	CaM_0 + PP1_0 - CaMKII_0 - (CaM_Ca1 + CaM_Ca2 + CaM_Ca3 + CaM_Ca4 + PP2B_CaM + PP2B_CaM_Ca1 + PP2B_CaM_Ca2 + PP2B_CaM_Ca3 + PP2B_CaM_Ca4 + PP1 - CaMKII - pCaMKIIa)	from conservation law	synapse
PP2B	PP2B	micromole/litre	PP2B_0-(PP2B_CaM + PP2B_CaM_Ca1 + PP2B_CaM_Ca2 + PP2B_CaM_Ca3 + PP2B_CaM_Ca4)	from conservation law	synapse
totalCaMKII	totalCaMKII	micromole/litre	(CaMKII_CaM + CaMKII_CaM_Ca1 + CaMKII + CaMKII_CaM_Ca2 + CaMKII_CaM_Ca3 + CaMKII_CaM_Ca4 + pCaMKII_CaM_Ca4 + pCaMKIIa + pCaMKII_CaM_Ca3 + pCaMKII_CaM_Ca2 + pCaMKII_CaM_Ca1 + pCaMKII_CaM)	from conservation law	synapse
ActiveCaMKII	ActiveCaMKII	micromole/litre	pCaMKII_CaM_Ca4 + pCaMKIIa + pCaMKII_CaM_Ca3 + pCaMKII_CaM_Ca2 + pCaMKII_CaM_Ca1 + pCaMKII_CaM + CaMKII_CaM_Ca4	from conservation law	synapse
r	r	micromole/litre	(CaMKII_CaM_Ca4+pCaMKII_CaM_Ca4)/(s+totalCaMKII)	from conservation law	synapse
pairedCaMKIIc	pairedCaMKIIc	micromole/litre	a*(r*r)/(1+b*r)	from conservation law	synapse
CaM_bound_Ca	CaM_bound_Ca	micromole/litre	(1.0 * CaM_Ca1) + (2.0 * CaM_Ca2) + (3.0 * CaM_Ca3) + (4.0 * CaM_Ca4)	output related sub-expression	synapse
PP2B_bound_Ca	PP2B_bound_Ca	micromole/litre	(1.0 * PP2B_CaM_Ca1) + (2.0 * PP2B_CaM_Ca2) + (3.0 * PP2B_CaM_Ca3) + (4.0 * PP2B_CaM_Ca4)	output related sub-expression	synapse
CaMKII_bound_Ca	CaMKII_bound_Ca	micromole/litre	(1.0 * (CaMKII_CaM_Ca1 + pCaMKII_CaM_Ca1)) + (2.0 * (CaMKII_CaM_Ca2 + pCaMKII_CaM_Ca2)) + (3.0 * (CaMKII_CaM_Ca3 + pCaMKII_CaM_Ca3)) + (4.0 * (CaMKII_CaM_Ca4 + pCaMKII_CaM_Ca4))	output related sub-expression	synapse
BoundCa	BoundCa	micromole/litre	(CaM_bound_Ca + PP2B_bound_Ca + CaMKII_bound_Ca)	output related sub-expression	synapse
Total_CaM_CaX	Total_CaM_CaX	micromole/litre	CaM + CaM_Ca1 + CaM_Ca2 + CaM_Ca3 + CaM_Ca4	output related sub-expression	synapse
Total_PP2B_CaM_CaX	Total_PP2B_CaM_CaX	micromole/litre	PP2B_CaM + PP2B_CaM_Ca1 + PP2B_CaM_Ca2 + PP2B_CaM_Ca3 + PP2B_CaM_Ca4	output related sub-expression	synapse
Total_CaMKII_CaM_CaX	Total_CaMKII_CaM_CaX	micromole/litre	CaMKII_CaM + CaMKII_CaM_Ca1 + CaMKII_CaM_Ca2 + CaMKII_CaM_Ca3 + CaMKII_CaM_Ca4	output related sub-expression	synapse
Total_pCaMKII_CaM_CaX	Total_pCaMKII_CaM_CaX	micromole/litre	pCaMKII_CaM + pCaMKII_CaM_Ca1 + pCaMKII_CaM_Ca2 + pCaMKII_CaM_Ca3 + pCaMKII_CaM_Ca4	output related sub-expression	synapse
Total_CaM	Total_CaM	micromole/litre	Total_CaM_CaX + Total_PP2B_CaM_CaX + Total_CaMKII_CaM_CaX + Total_pCaMKII_CaM_CaX	output related sub-expression	synapse
Total_pCaMKII	Total_pCaMKII	micromole/litre	pCaMKII_CaM_Ca4 + pCaMKIIa + pCaMKII_CaM_Ca3 + pCaMKII_CaM_Ca2 + pCaMKII_CaM_Ca1 + pCaMKII_CaM	output related sub-expression	synapse
